timestamp,nupl,nup,nul
2024-07-19,0.53486712,0.53944925,0.00357757
2024-07-20,0.53773888,0.54140667,0.00297079
2024-07-21,0.54446969,0.54462014,0.0020124
2024-07-22,0.53973695,0.54427849,0.00238188
2024-07-23,0.52700867,0.53224914,0.00498846
2024-07-24,0.52265111,0.52838086,0.00621514
2024-07-25,0.52566761,0.53046192,0.00515394
2024-07-26,0.53984525,0.54157342,0.00209807
2024-07-27,0.5392612,0.54455744,0.00190515
2024-07-28,0.54143872,0.54280618,0.00180258
2024-07-29,0.53070947,0.53488484,0.0037928
2024-07-30,0.52615251,0.53123808,0.00460624
2024-07-31,0.51473747,0.52364861,0.00814152
2024-08-01,0.51979326,0.52490164,0.00650831
2024-08-02,0.48933743,0.51012674,0.01732757
2024-08-03,0.4831422,0.50028476,0.02191256
2024-08-04,0.46058614,0.49186362,0.03223838
2024-08-05,0.42115172,0.4810459,0.05017926
2024-08-06,0.44223634,0.48238399,0.04074685
2024-08-07,0.4331368,0.47717302,0.04568994
2024-08-08,0.49290274,0.50924408,0.01556925
2024-08-09,0.48528558,0.50044448,0.01943924
2024-08-10,0.48529339,0.50246541,0.01845625
2024-08-11,0.46589765,0.49559075,0.02659468
2024-08-12,0.47155815,0.49786222,0.02377366
2024-08-13,0.48254714,0.49941711,0.01954255
2024-08-14,0.46579366,0.49346768,0.02642249
2024-08-15,0.45529906,0.48727084,0.03181746
2024-08-16,0.46759271,0.49408102,0.0251947
2024-08-17,0.47307772,0.49497721,0.02307714
2024-08-18,0.46345032,0.49689269,0.0255574
2024-08-19,0.47264416,0.49440846,0.02313759
2024-08-20,0.4687268,0.49499113,0.02407838
2024-08-21,0.48714219,0.50237904,0.01645732
2024-08-22,0.48035285,0.49919326,0.01892611
2024-08-23,0.50960704,0.51573604,0.00853484
2024-08-24,0.51003992,0.51473523,0.00845919
2024-08-25,0.51048513,0.51984512,0.00748444
2024-08-26,0.49925896,0.51131089,0.01124216
2024-08-27,0.47073057,0.49475974,0.02278401
2024-08-28,0.46758443,0.49157718,0.02437904
2024-08-29,0.46968759,0.49250611,0.02271109
2024-08-30,0.46752076,0.49132201,0.0236148
2024-08-31,0.46625354,0.49138425,0.02388476
2024-09-01,0.45093275,0.48267504,0.0321968
2024-09-02,0.46790988,0.49302538,0.02269872
2024-09-03,0.45250936,0.48500368,0.03028983
2024-09-04,0.4572143,0.48446936,0.02856618
2024-09-05,0.44001991,0.47727997,0.03759661
2024-09-06,0.41756072,0.4679984,0.0502935
2024-09-07,0.41961097,0.46822559,0.04916521
2024-09-08,0.42723966,0.47147125,0.04453726
2024-09-09,0.4484545,0.48226952,0.03180267
2024-09-10,0.45430269,0.48264035,0.02923879
2024-09-11,0.45152075,0.48199996,0.03025059
2024-09-12,0.4587642,0.48552473,0.02646764
2024-09-13,0.47980004,0.49773059,0.01689938
2024-09-14,0.47490889,0.49358859,0.01905134
2024-09-15,0.46701841,0.49015737,0.0221434
2024-09-16,0.45853581,0.48436606,0.02619434
2024-09-17,0.47704861,0.49359393,0.01810905
2024-09-18,0.48901109,0.49668144,0.01430974
2024-09-19,0.49796448,0.50898361,0.00993368
2024-09-20,0.49914341,0.50859357,0.00947009
2024-09-21,0.50021151,0.50980464,0.00896735
2024-09-22,0.50167531,0.51033631,0.00856656
2024-09-23,0.499158,0.50824152,0.00915982
2024-09-24,0.50613964,0.5142667,0.0069162
2024-09-25,0.49662427,0.50637117,0.00967946
2024-09-26,0.51170967,0.51415059,0.00575475
2024-09-27,0.51571962,0.52081393,0.00428842
2024-09-28,0.51597134,0.52095915,0.0041383
2024-09-29,0.51386697,0.51878531,0.00464071
2024-09-30,0.49615528,0.50595855,0.00952122
2024-10-01,0.4754451,0.49483832,0.0172744
2024-10-02,0.47416111,0.49306417,0.01784603
2024-10-03,0.47514302,0.49283375,0.01735249
2024-10-04,0.48618482,0.49848763,0.01288909
2024-10-05,0.48590284,0.49902155,0.01276889
2024-10-06,0.4919281,0.50248262,0.01056666
2024-10-07,0.48676385,0.50127365,0.01194004
