timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2025-03-27 23:00:00,87333.0200000000,87356.1000000000,87108.8700000000,87217.4800000000,180.4980056200,74.0045057000,0.9997001900,0.0013837000,11.2697092900,0.0000005700
2025-03-28 00:00:00,87214.0700000000,87399.1200000000,86912.3100000000,87340.7900000000,236.5681855900,-196.2408254900,0.9999115300,0.0019418700,40.9832100400,0.0000020700
2025-03-28 01:00:00,87356.7800000000,87498.1500000000,87107.4400000000,87224.4600000000,157.0158314500,-52.5758631100,0.9999164200,0.0021116500,40.9832100400,0.0000020700
2025-03-28 02:00:00,87225.0400000000,87324.4300000000,86930.9900000000,86972.8400000000,187.2927202000,937.8001433800,0.9855997700,0.0021893500,40.9832100400,0.0000020700
2025-03-28 03:00:00,86972.8400000000,87003.2900000000,86738.3200000000,86779.1200000000,315.6749394700,-212.9729180300,0.9955229400,0.0017398000,40.9832100400,0.0000020700
2025-03-28 04:00:00,86779.1100000000,86825.4300000000,85935.3900000000,86277.0900000000,367.4708812000,1268.7842695600,0.9471725800,0.0003296800,40.9832100400,0.0000020700
2025-03-28 05:00:00,86277.0800000000,86277.0800000000,85799.0000000000,86025.6900000000,210.3234543900,-333.9027903200,0.9668950600,-0.0017289800,40.9832100400,0.0000020700
2025-03-28 06:00:00,86028.0800000000,86226.4500000000,85620.3000000000,85699.5400000000,246.3948513100,-232.2254403500,0.9997395000,-0.0021431000,40.9832100400,0.0000020700
2025-03-28 07:00:00,85703.2400000000,85848.2500000000,85122.3300000000,85164.9800000000,391.5946853000,-246.3228895100,0.9696340800,-0.0012810800,40.9832100400,0.0000020700
2025-03-28 08:00:00,85164.8000000000,85409.9100000000,85012.6600000000,85177.7800000000,331.0948244700,13.4619342600,0.9976784300,0.0008517300,40.9832100400,0.0000020700
2025-03-28 09:00:00,85181.8200000000,85388.7100000000,84964.5800000000,85127.0000000000,353.0915225100,362.5089480200,0.9999839100,0.0032584700,40.9832100400,0.0000020700
2025-03-28 10:00:00,85130.4900000000,85226.8100000000,84855.0300000000,84929.5600000000,253.7563485200,-441.6894629200,0.9705891600,0.0055164300,40.9832100400,0.0000020700
2025-03-28 11:00:00,84927.7800000000,85231.1700000000,84771.0400000000,85221.7700000000,345.4200712900,-198.3251626500,0.9642383300,0.0070315300,40.9832100400,0.0000020700
2025-03-28 12:00:00,85221.7600000000,85562.0700000000,84854.5600000000,85007.4400000000,556.2681720200,864.3999560700,0.9998973100,0.0078146300,40.9832100400,0.0000020700
2025-03-28 13:00:00,85009.9800000000,85550.0000000000,84900.0000000000,84974.5000000000,679.0260094100,-133.5287096300,0.9996706000,0.0082249700,40.9832100400,0.0000020700
2025-03-28 14:00:00,84974.5000000000,85089.5100000000,84100.6600000000,84124.2300000000,1332.0400030600,140.7081117300,0.9988771500,0.0080410200,40.9832100400,0.0000020700
2025-03-28 15:00:00,84124.9700000000,84499.8800000000,83897.5000000000,84009.6800000000,756.2213101800,-541.9730596800,0.9806218500,0.0086788300,40.9832100400,0.0000020700
2025-03-28 16:00:00,84001.7500000000,84163.1500000000,83602.9900000000,83740.3200000000,609.9155497400,-140.4404552400,0.9982747400,0.0079702800,40.9832100400,0.0000020700
2025-03-28 17:00:00,83733.3400000000,83951.3500000000,83533.4000000000,83936.7300000000,414.2031582100,2149.9542688600,0.9857748900,0.0080779300,40.9832100400,0.0000020700
2025-03-28 18:00:00,83941.0700000000,84119.4800000000,83650.6800000000,83822.5600000000,380.8038129600,1694.7555597100,0.9817596200,0.0076807700,40.9832100400,0.0000020700
2025-03-28 19:00:00,83822.5600000000,83839.3100000000,83568.5700000000,83733.9300000000,975.4523789600,-899.0687114300,0.9966666200,0.0074828000,40.9832100400,0.0000020700
2025-03-28 20:00:00,83736.5100000000,84120.8200000000,83654.3400000000,83757.0900000000,534.4183372300,-61.9166938600,0.9820595300,0.0085476200,40.9832100400,0.0000020700
2025-03-28 21:00:00,83757.0900000000,84065.4400000000,83650.0000000000,84000.0000000000,128.4989043800,-181.6689792600,0.9935804600,0.0085322500,40.9832100400,0.0000020700
2025-03-28 22:00:00,84000.0000000000,84439.4500000000,83999.9900000000,84433.5000000000,170.7848446400,869.9172252600,0.9929168100,0.0077036800,40.9832100400,0.0000020700
2025-03-28 23:00:00,84428.2800000000,84485.5000000000,84154.1600000000,84381.8000000000,98.4692933800,-106.1589378600,0.9991275200,0.0061411200,40.9832100400,0.0000020700
2025-03-29 00:00:00,84381.8100000000,84584.1300000000,84311.1100000000,84359.4500000000,114.7269297300,79.1746427400,0.9995759500,0.0044163700,6.8220767200,0.0000003400
2025-03-29 01:00:00,84357.2300000000,84470.6300000000,84172.3400000000,84246.5300000000,93.3948814500,-70.7978870000,0.9954910900,0.0026838700,6.8220767200,0.0000003400
2025-03-29 02:00:00,84246.5500000000,84394.5300000000,83800.0000000000,83828.6400000000,136.0705725000,-18.0212294900,0.9999966000,0.0024257800,6.8220767200,0.0000003400
2025-03-29 03:00:00,83815.4600000000,84236.9900000000,83675.0500000000,84139.0600000000,140.5692154100,286.3133722100,0.9888083000,0.0038331500,6.8220767200,0.0000003400
2025-03-29 04:00:00,84139.0600000000,84234.7300000000,83931.6600000000,84042.4800000000,60.8240585100,-4.3668382800,0.9834887200,0.0054176000,6.8220767200,0.0000003400
2025-03-29 05:00:00,84042.4700000000,84069.8400000000,83820.0000000000,83975.7000000000,69.0878883100,-41.0330031900,0.9979585800,0.0064458200,6.8220767200,0.0000003400
2025-03-29 06:00:00,83975.6900000000,83975.7000000000,83628.1900000000,83763.7400000000,45.7833675500,40.1856534700,0.9740906200,0.0076352800,6.8220767200,0.0000003400
2025-03-29 07:00:00,83763.7400000000,83850.0000000000,83618.3100000000,83699.2500000000,23.3034174300,-28.9338487800,0.9978523200,0.0079178800,6.8220767200,0.0000003400
2025-03-29 08:00:00,83699.2500000000,83906.6300000000,83625.5300000000,83893.3000000000,39.7263093600,95.6666931300,0.9994374900,0.0090335700,6.8220767200,0.0000003400
2025-03-29 09:00:00,83893.3100000000,83905.2400000000,83251.5200000000,83518.4400000000,237.6430383600,-62.3432868700,0.9965409100,0.0099493300,6.8220767200,0.0000003400
2025-03-29 10:00:00,83518.4400000000,83530.6200000000,82784.5600000000,82887.4600000000,207.7379894500,61.5604824400,0.9987010000,0.0094422200,6.8220767200,0.0000003400
2025-03-29 11:00:00,82887.4600000000,83074.0300000000,81966.0000000000,82257.9500000000,419.5857178900,-77.8870403900,0.9990295400,0.0080642200,6.8220767200,0.0000003400
2025-03-29 12:00:00,82257.9700000000,82478.4000000000,82104.7000000000,82426.9000000000,127.5333553200,-45.0339866900,0.9991553000,0.0075035300,6.8220767200,0.0000003400
2025-03-29 13:00:00,82426.9000000000,82832.8900000000,82418.7000000000,82825.0300000000,118.9016738000,-58.5832601600,0.8503086500,0.0059975200,6.8220767200,0.0000003400
2025-03-29 14:00:00,82821.2100000000,82856.1500000000,82411.7900000000,82469.0100000000,118.4462642000,316.4042457000,0.9998711200,0.0040722500,6.8220767200,0.0000003400
2025-03-29 15:00:00,82469.0200000000,82600.0000000000,82350.0000000000,82392.0600000000,102.7220896700,21.2704915900,0.9994760400,0.0031166800,6.8220767200,0.0000003400
